Sample.ID,Study.ID,DOI.primary,DOI.secondary,LeadAuthor.primary,LeadAuthor.secondary,PublicationYear,Country,Region,SiteName,Block.Rep,GPS.Lat,GPS.Long,Study.context,SampleDepth.min,SampleDepth.max,Clay.pct,Silt.pct,Sand.pct,TexturalClass,Soil.pH,CEC,SOC.pct,Soil.TotalCd,TotalCd.method,Soil.AvailCd1,Soil.AvailCd1.method,Soil.AvailCd2,Soil.AvailCd2.method,Soil.AvailCd3,Soil.AvailCd3.method,Soil.AvailCd3,Soil.AvailCd3.method,Soil.AvailCd3,Soil.AvailCd3.method,Soil.AvailCd3,Soil.AvailCd3.method,Soil.Cd.type,WholeBeanCd,NibCd,ShellCd,LeafCd,AvailCd.N,AvailCd.SD,TotalCd.N,TotalCd.SD,WholeBeanCd.N,WholeBeanCd.SD,Subset,Soil.Cd.YN,Bean.Cd.YN,LeafBeaf.Cd.YN
1,1,https://doi.org/10.1007/s11270-019-4109-x,,Katharina Laila Marie Zug,Hugo Alfredo Huamaní Yupanqui,2019,Peru,Huanuco Region,1,,-9.29527778,-75.9975,Field study,0,20,,,,,5.1,,,1.42,HNO3 and H2O2,,,,,,,,,,,,,Acid,,,,,,,4,0.86,,,Soil only,Y,,
2,1,https://doi.org/10.1007/s11270-019-4109-x,,Katharina Laila Marie Zug,Hugo Alfredo Huamaní Yupanqui,2019,Peru,Huanuco Region,2,,-9.29527778,-75.9975,Field study,0,20,,,,,5.09,,,0.67,HNO3 and H2O2,,,,,,,,,,,,,Acid,,,,,,,4,0.48,,,Soil only,Y,,
3,1,https://doi.org/10.1007/s11270-019-4109-x,,Katharina Laila Marie Zug,Hugo Alfredo Huamaní Yupanqui,2019,Peru,Huanuco Region,3,,-9.29527778,-75.9975,Field study,0,20,,,,,7.47,,,0.32,HNO3 and H2O2,,,,,,,,,,,,,Acid,,,,,,,4,0.02,,,Soil only,Y,,
4,1,https://doi.org/10.1007/s11270-019-4109-x,,Katharina Laila Marie Zug,Hugo Alfredo Huamaní Yupanqui,2019,Peru,Huanuco Region,4,,-9.29527778,-75.9975,Field study,0,20,,,,,4.87,,,0.08,HNO3 and H2O2,,,,,,,,,,,,,Acid,,,,,,,4,0.02,,,Soil only,Y,,
5,1,https://doi.org/10.1007/s11270-019-4109-x,,Katharina Laila Marie Zug,Hugo Alfredo Huamaní Yupanqui,2019,Peru,Huanuco Region,5,,-9.29527778,-75.9975,Field study,0,20,,,,,4.63,,,0.04,HNO3 and H2O2,,,,,,,,,,,,,Acid,,,,,,,4,0,,,Soil only,Y,,
6,1,https://doi.org/10.1007/s11270-019-4109-x,,Katharina Laila Marie Zug,Hugo Alfredo Huamaní Yupanqui,2019,Peru,Huanuco Region,6,,-9.29527778,-75.9975,Field study,0,20,,,,,5.11,,,0.09,HNO3 and H2O2,,,,,,,,,,,,,Acid,,,,,,,4,0,,,Soil only,Y,,
7,1,https://doi.org/10.1007/s11270-019-4109-x,,Katharina Laila Marie Zug,Hugo Alfredo Huamaní Yupanqui,2019,Peru,Huanuco Region,7,,-9.29527778,-75.9975,Field study,0,20,,,,,5.48,,,0.08,HNO3 and H2O2,,,,,,,,,,,,,Acid,,,,,,,4,0.1,,,Soil only,Y,,
8,1,https://doi.org/10.1007/s11270-019-4109-x,,Katharina Laila Marie Zug,Hugo Alfredo Huamaní Yupanqui,2019,Peru,Huanuco Region,8,,-9.29527778,-75.9975,Field study,0,20,,,,,4.33,,,0.08,HNO3 and H2O2,,,,,,,,,,,,,Acid,,,,,,,4,0,,,Soil only,Y,,
9,1,https://doi.org/10.1007/s11270-019-4109-x,,Katharina Laila Marie Zug,Hugo Alfredo Huamaní Yupanqui,2019,Peru,Huanuco Region,9,,-9.29527778,-75.9975,Field study,0,20,,,,,4.92,,,0.18,HNO3 and H2O2,,,,,,,,,,,,,Acid,,,,,,,4,0.1,,,Soil only,Y,,
10,1,https://doi.org/10.1007/s11270-019-4109-x,,Katharina Laila Marie Zug,Hugo Alfredo Huamaní Yupanqui,2019,Peru,Huanuco Region,10,,-9.29527778,-75.9975,Field study,0,20,,,,,5.07,,,0.19,HNO3 and H2O2,,,,,,,,,,,,,Acid,,,,,,,4,0.18,,,Soil only,Y,,
